훈련과정ID,회차,훈련기관ID
AIG20200000286658,2,500020045827.0
AIG20200000313010,2,500038435553.0
AIG20200000286661,2,500020028183.0
AIG20200000286558,1,500020048147.0
AIG20200000288894,2,500020061524.0
AIG20200000286666,2,500020034331.0
AIG20200000286666,3,500020034331.0
AIG20200000288888,2,500020015858.0
AIG20200000286689,2,500020034331.0
AIG20200000286689,3,500020034331.0
AIG20200000286675,2,500020013370.0
AIG20200000286648,5,500020018488.0
AIG20200000286660,5,500020018488.0
AIG20200000286668,4,500020018488.0
AIG20200000288889,2,500036172479.0
AIG20200000288889,3,500036172479.0
AIG20200000288890,2,500036172479.0
AIG20210000320474,1,500020019318.0
AIG20210000320882,1,500020019318.0
AIG20210000320902,1,500020019318.0
AIG20210000320927,1,500020019318.0
AIG20210000320939,1,500020019318.0
AIG20200000288892,9,500037933544.0
AIG20210000314457,1,500034152141.0
AIG20200000313547,7,500020039927.0
AIG20210000314451,1,500020039927.0
AIG20210000313694,1,500034745649.0
AIG20210000314440,2,500020016144.0
AIG20210000313691,1,500020012975.0
AIG20210000313691,2,500020012975.0
AIG20210000313700,1,500020040484.0
AIG20210000328612,2,500039652243.0
AIG20200000286649,2,500034391173.0
AIG20210000320882,3,500020019318.0
AIG20210000320939,3,500020019318.0
AIG20200000286647,5,500034391173.0
AIG20210000313595,2,500020027783.0
AIG20210000314418,2,500020021390.0
AIG20210000313656,2,500020042872.0
AIG20210000328992,5,500037143258.0
AIG20220000366682,2,500020031484.0
AIG20220000366880,2,500020031484.0
AIG20210000328873,6,500039727504.0
AIG20210000314414,2,500020048147.0
AIG20210000329030,11,500037517077.0
AIG20220000366761,1,500020014651.0
AIG20210000314466,21,500020039927.0
AIG20210000314466,22,500020039927.0
AIG20200000313528,38,500020032858.0
AIG20220000409270,3,500037517077.0
AIG20200000313547,23,500020039927.0
AIG20220000409240,1,500020062235.0
AIG20220000409409,1,500034831709.0
AIG20200000313409,4,500037143258.0
AIG20210000314472,20,500037143258.0
AIG20220000409387,1,500020039128.0
AIG20220000366774,2,500020059960.0
AIG20210000328611,1,500039652243.0
AIG20210000313664,4,500020049409.0
AIG20220000409224,1,500020019775.0
AIG20210000329032,14,500037517077.0
AIG20210000329032,17,500037517077.0
AIG20210000329032,19,500037517077.0
AIG20210000329032,20,500037517077.0
AIG20210000329032,26,500037517077.0
AIG20210000329032,28,500037517077.0
AIG20210000329032,30,500037517077.0
AIG20210000328824,2,500020034331.0
AIG20210000328824,3,500020034331.0
AIG20220000366801,2,500038924656.0
AIG20200000286649,3,500034391173.0
AIG20220000409297,1,500020045827.0
AIG20220000412360,1,500020053280.0
AIG20220000412361,1,500020053280.0
AIG20210000329033,64,500037517077.0
AIG20220000366909,2,500034782394.0
AIG20220000409305,2,500020026790.0
AIG20200000286689,12,500020034331.0
AIG20200000286598,8,500020039927.0
AIG20210000328557,9,500038435553.0
AIG20210000314424,6,500020028183.0
AIG20220000409220,1,500020034374.0
