훈련과정ID,회차,3개월 취업인원,3개월 취업률,6개월 취업인원,6개월 취업률,수료인원
AIG20200000286658,2,0,0.0,7,63.6,15
AIG20200000313010,2,0,0.0,29,61.7,51
AIG20200000286661,2,0,0.0,7,58.3,14
AIG20200000286558,1,0,0.0,3,60.0,5
AIG20200000288894,2,0,0.0,3,50.0,8
AIG20200000286666,2,0,0.0,12,60.0,21
AIG20200000286666,3,0,0.0,8,50.0,19
AIG20200000288888,2,0,0.0,11,52.4,22
AIG20200000286689,2,0,0.0,10,62.5,17
AIG20200000286689,3,0,0.0,4,44.4,11
AIG20200000286675,2,0,0.0,11,73.3,16
AIG20200000286648,5,0,0.0,13,65.0,21
AIG20200000286660,5,0,0.0,15,83.3,21
AIG20200000286668,4,0,0.0,16,69.6,24
AIG20200000288889,2,0,0.0,13,54.2,24
AIG20200000288889,3,0,0.0,11,50.0,23
AIG20200000288890,2,0,0.0,7,58.3,14
AIG20210000320474,1,0,0.0,7,28.0,26
AIG20210000320882,1,0,0.0,8,30.8,26
AIG20210000320902,1,0,0.0,3,37.5,8
AIG20210000320927,1,0,0.0,9,64.3,18
AIG20210000320939,1,0,0.0,11,42.3,27
AIG20200000288892,9,0,0.0,2,18.2,16
AIG20210000314457,1,0,0.0,3,60.0,7
AIG20200000313547,7,0,0.0,3,50.0,8
AIG20210000314451,1,0,0.0,6,46.2,14
AIG20210000313694,1,0,0.0,0,0.0,1
AIG20210000314440,2,0,0.0,7,58.3,14
AIG20210000313691,1,0,0.0,2,25.0,8
AIG20210000313691,2,,B,,B,0
AIG20210000313700,1,,B,,B,0
AIG20210000328612,2,0,0.0,5,41.7,15
AIG20200000286649,2,,C,,C,0
AIG20210000320882,3,0,0.0,1,6.3,19
AIG20210000320939,3,0,0.0,2,16.7,12
AIG20200000286647,5,0,0.0,4,26.7,17
AIG20210000313595,2,0,0.0,17,81.0,23
AIG20210000314418,2,0,0.0,10,90.9,11
AIG20210000313656,2,0,0.0,1,9.1,12
AIG20210000328992,5,0,0.0,1,33.3,3
AIG20220000366682,2,0,0.0,9,52.9,21
AIG20220000366880,2,0,0.0,9,47.4,20
AIG20210000328873,6,0,0.0,0,0.0,16
AIG20210000314414,2,0,0.0,0,0.0,2
AIG20210000329030,11,0,0.0,2,14.3,16
AIG20220000366761,1,0,0.0,9,52.9,22
AIG20210000314466,21,0,0.0,0,0.0,9
AIG20210000314466,22,0,0.0,4,44.4,10
AIG20200000313528,38,0,0.0,3,18.8,18
AIG20220000409270,3,0,0.0,2,12.5,16
AIG20200000313547,23,0,0.0,1,11.1,11
AIG20220000409240,1,0,0.0,6,37.5,17
AIG20220000409409,1,,C,,C,0
AIG20200000313409,4,0,0.0,0,0.0,15
AIG20210000314472,20,0,0.0,0,0.0,9
AIG20220000409387,1,,C,,C,0
AIG20220000366774,2,,C,,C,0
AIG20210000328611,1,,C,,C,0
AIG20210000313664,4,0,0.0,0,0.0,4
AIG20220000409224,1,0,0.0,1,25.0,6
AIG20210000329032,14,0,0.0,5,31.3,20
AIG20210000329032,17,0,0.0,1,7.1,20
AIG20210000329032,19,0,0.0,4,36.4,18
AIG20210000329032,20,0,0.0,3,17.6,20
AIG20210000329032,26,0,0.0,5,38.5,18
AIG20210000329032,28,0,0.0,1,9.1,16
AIG20210000329032,30,0,0.0,4,23.5,19
AIG20210000328824,2,,C,,C,0
AIG20210000328824,3,,C,,C,0
AIG20220000366801,2,0,0.0,1,16.7,7
AIG20200000286649,3,,C,,C,0
AIG20220000409297,1,0,0.0,1,33.3,3
AIG20220000412360,1,,B,,B,20
AIG20220000412361,1,,B,,B,20
AIG20210000329033,64,0,0.0,3,17.6,17
AIG20220000366909,2,,C,,C,0
AIG20220000409305,2,0,0.0,5,50.0,12
AIG20200000286689,12,0,0.0,3,17.6,20
AIG20200000286598,8,0,0.0,0,0.0,12
AIG20210000328557,9,0,0.0,3,21.4,15
AIG20210000314424,6,0,0.0,3,50.0,8
AIG20220000409220,1,0,0.0,0,0.0,5
AIG20210000320882,5,0,0.0,0,0.0,25
AIG20210000320939,5,0,0.0,2,40.0,15
AIG20210000313652,8,0,0.0,5,41.7,13
AIG20220000366854,13,0,0.0,4,23.5,20
AIG20200000286570,7,0,0.0,3,37.5,9
AIG20220000412364,1,0,0.0,0,0.0,17
AIG20220000412364,3,0,0.0,3,17.6,20
AIG20220000366826,3,0,0.0,4,30.8,16
AIG20210000313656,3,,D,,D,0
AIG20220000366909,4,,C,,C,0
AIG20220000409445,3,,C,,C,0
AIG20220000366757,1,0,0.0,1,16.7,7
AIG20210000328927,2,0,0.0,2,25.0,9
AIG20220000412360,2,,D,,D,25
AIG20220000412361,2,,B,,B,23
AIG20210000313657,4,0,0.0,2,50.0,5
AIG20230000412578,1,0,0.0,1,16.7,6
AIG20200000286692,10,0,0.0,2,25.0,8
AIG20200000286642,4,0,0.0,2,22.2,11
AIG20220000409358,1,,C,,C,0
AIG20220000409396,1,,C,,C,0
AIG20200000286683,5,0,0.0,3,37.5,9
AIG20210000329032,36,0,0.0,7,58.3,20
AIG20210000329032,42,0,0.0,5,35.7,18
AIG20210000314454,4,,C,,C,0
AIG20210000328612,8,0,0.0,4,50.0,11
AIG20220000366743,5,0,0.0,4,26.7,16
AIG20200000286611,9,0,0.0,0,0.0,10
AIG20210000329033,74,0,0.0,2,9.1,22
AIG20210000329033,96,0,0.0,4,23.5,17
AIG20230000412817,1,0,0.0,1,11.1,11
AIG20200000286689,15,0,0.0,5,45.5,12
AIG20210000328968,5,0,0.0,4,50.0,8
AIG20220000366918,8,0,0.0,3,23.1,16
AIG20230000412816,2,0,0.0,1,14.3,7
AIG20230000412830,1,0,0.0,2,28.6,7
AIG20220000366987,3,0,0.0,2,25.0,11
AIG20230000412863,1,0,0.0,3,37.5,9
AIG20230000455498,1,0,0.0,1,12.5,9
AIG20220000409333,2,0,0.0,5,55.6,10
AIG20220000366768,2,0,0.0,0,0.0,2
AIG20210000314480,7,0,0.0,4,16.7,26
