훈련과정 ID,회차,과정시작일,과정종료일,수강신청 인원,수료인원
AIG20210000313691,1,2021-08-02,2021-12-24,14,8
AIG20210000313691,2,2021-08-02,2021-12-29,15,0
AIG20200000286649,2,2022-03-14,2022-09-01,1,0
AIG20220000409409,1,2022-11-01,2023-02-08,0,0
AIG20210000313691,5,2022-11-07,2023-01-06,15,10
AIG20220000409387,1,2022-11-24,2023-05-19,0,0
AIG20220000366774,2,2022-11-29,2023-05-22,0,0
AIG20210000314415,2,2022-11-30,2023-09-05,9,6
AIG20210000328611,1,2022-11-30,2023-06-01,0,0
AIG20210000313691,6,2022-12-21,2023-02-28,7,5
AIG20210000328824,2,2022-12-26,2023-06-16,0,0
AIG20210000328824,3,2022-12-26,2023-06-16,0,0
AIG20220000409317,1,2022-12-30,2023-06-30,11,10
AIG20200000286649,3,2022-12-30,2023-06-23,0,0
AIG20220000366909,2,2023-01-18,2023-06-28,0,0
AIG20220000366909,4,2023-05-03,2023-10-17,0,0
AIG20220000409445,3,2023-05-08,2023-11-06,0,0
AIG20220000409396,1,2023-06-19,2023-12-11,0,0
AIG20220000409358,1,2023-06-19,2023-12-11,0,0
AIG20210000314454,4,2023-07-04,2024-01-11,0,0
AIG20230000412815,5,2023-09-20,2024-04-05,0,0
AIG20230000412904,4,2023-10-24,2024-04-22,0,0
AIG20210000313628,2,2023-11-20,2024-05-17,0,0
AIG20220000366793,3,2023-12-04,2024-05-23,0,0
AIG20230000455784,13,2023-12-19,2024-06-17,0,0
AIG20230000412689,1,2023-12-19,2024-06-21,0,0
AIG20230000455784,6,2023-12-19,2024-06-17,0,0
AIG20200000286562,8,2023-12-26,2024-05-13,0,0
AIG20220000366909,5,2023-12-29,2024-06-14,0,0
AIG20220000409420,6,2024-01-30,2024-07-25,15,0
AIG20210000328598,5,2024-04-17,2024-10-14,0,0
AIG20230000455751,2,2024-05-29,2024-10-31,4,0
AIG20230000412600,3,2024-06-17,2024-12-10,0,0
AIG20230000455784,21,2024-06-24,2024-12-17,0,0
AIG20240000458996,1,2024-06-24,2025-01-02,24,18
AIG20230000455784,19,2024-06-24,2024-12-17,0,0
AIG20230000455784,16,2024-06-24,2024-12-17,0,0
AIG20220000412364,9,2024-07-01,2024-11-21,0,0
AIG20220000366834,2,2024-07-08,2024-12-16,0,0
AIG20230000412770,8,2024-07-08,2025-01-17,0,0
AIG20230000412766,9,2024-07-08,2025-01-16,0,0
AIG20220000366743,10,2024-07-29,2025-01-24,0,0
AIG20230000455766,6,2024-07-30,2024-11-26,0,0
AIG20210000328555,7,2024-08-16,2025-02-26,0,0
AIG20240000459085,2,2024-08-19,2025-02-03,8,1
AIG20230000412770,10,2024-08-26,2025-02-25,0,0
AIG20230000455617,1,2024-09-02,2025-02-28,0,0
AIG20210000328555,8,2024-09-02,2025-03-14,0,0
AIG20240000459400,2,2024-09-03,2025-01-15,0,0
AIG20230000412649,3,2024-09-13,2025-03-13,0,0
AIG20230000412689,2,2024-09-24,2025-03-27,0,0
AIG20220000409285,8,2024-09-25,2025-03-25,0,0
AIG20240000459397,2,2024-09-30,2024-11-28,0,0
AIG20230000412649,4,2024-10-01,2025-03-26,0,0
AIG20230000412780,2,2024-10-07,2025-04-01,0,0
AIG20220000409285,9,2024-10-08,2025-04-04,0,0
AIG20230000412649,5,2024-10-14,2025-04-04,0,0
AIG20230000412897,15,2024-10-15,2025-04-21,0,0
AIG20230000412649,6,2024-10-21,2025-04-11,0,0
AIG20220000409285,10,2024-10-22,2025-04-17,0,0
AIG20220000409305,8,2024-10-30,2025-04-23,0,0
AIG20220000366759,2,2024-10-30,2025-04-23,0,0
AIG20240000459358,2,2024-11-04,2025-06-10,0,0
AIG20240000459356,2,2024-11-06,2025-06-12,0,0
AIG20220000409305,9,2024-11-13,2025-05-09,0,0
AIG20220000366759,3,2024-11-13,2025-05-09,0,0
AIG20220000409356,4,2024-11-26,2025-05-28,0,0
AIG20220000409305,10,2024-11-27,2025-05-23,0,0
AIG20220000366759,4,2024-11-27,2025-05-23,0,0
AIG20240000459290,3,2024-12-02,2024-12-06,30,30
AIG20220000366733,9,2024-12-04,2025-06-16,0,0
AIG20220000409247,19,2024-12-09,2025-07-04,0,0
AIG20240000459290,4,2024-12-09,2024-12-13,30,30
AIG20230000455766,8,2024-12-16,2025-06-18,0,0
AIG20240000459190,1,2024-12-16,2025-04-22,3,0
AIG20220000409306,4,2024-12-18,2025-06-13,0,0
AIG20210000328870,10,2024-12-23,2025-02-28,1,0
AIG20220000409368,9,2024-12-23,2025-06-18,0,0
AIG20220000366759,5,2024-12-26,2025-06-23,0,0
AIG20230000455617,3,2024-12-26,2025-06-23,0,0
AIG20220000366797,20,2024-12-27,2025-07-10,0,0
AIG20230000412780,3,2024-12-30,2025-06-25,0,0
AIG20220000366914,6,2024-12-30,2025-07-01,0,0
AIG20230000455744,5,2024-12-30,2025-07-01,0,0
AIG20240000459311,2,2024-12-30,2025-03-06,0,0
AIG20230000412744,4,2024-12-31,2025-07-21,0,0
AIG20220000409385,7,2024-12-31,2025-07-03,0,0
AIG20230000455784,24,2025-01-06,2025-07-02,0,0
AIG20230000455784,27,2025-01-06,2025-07-02,0,0
AIG20230000455784,26,2025-01-06,2025-07-02,0,0
AIG20230000455784,25,2025-01-06,2025-07-02,0,0
AIG20240000498236,1,2025-01-13,2025-08-20,0,0
AIG20230000412897,18,2025-01-13,2025-07-22,0,0
AIG20230000412856,5,2025-01-16,2025-07-15,0,0
AIG20230000412684,3,2025-02-04,2025-07-16,0,0
AIG20240000498289,2,2025-03-04,2025-07-07,14,14
AIG20240000501258,3,2025-03-10,2025-07-31,0,0
AIG20240000498281,1,2025-03-10,2025-06-12,0,0
AIG20240000501258,2,2025-03-10,2025-07-31,0,0
AIG20230000455632,2,2025-03-17,2025-08-13,0,0
AIG20240000459400,4,2025-03-17,2025-07-25,0,0
AIG20240000459368,3,2025-03-22,2025-06-25,31,20
AIG20240000459157,3,2025-04-02,2025-10-15,0,0
AIG20240000459359,3,2025-04-07,2025-09-24,0,0
AIG20240000459160,4,2025-04-29,2025-10-23,0,0
AIG20230000412740,7,2025-05-27,2025-12-18,0,0
AIG20230000455696,4,2025-06-23,2025-12-15,0,0
AIG20230000412712,13,2025-06-25,2025-12-18,0,0
AIG20240000459241,3,2025-06-30,2025-12-23,0,0
AIG20230000412678,7,2025-07-10,2026-01-12,0,0
AIG20240000459290,6,2025-07-14,2025-07-18,30,30
AIG20240000459290,7,2025-07-21,2025-07-25,30,29
AIG20230000455783,5,2025-08-04,2025-12-16,0,0
AIG20240000459365,1,2025-08-04,2026-01-29,0,0
AIG20240000459160,5,2025-08-12,2026-02-04,0,0
AIG20240000459287,2,2025-08-20,2026-02-27,0,0
AIG20250000501352,1,2025-08-25,2026-02-24,0,0
AIG20240000459359,4,2025-09-01,2026-02-26,0,0
AIG20230000412740,8,2025-09-01,2026-03-30,0,0
AIG20240000459160,6,2025-09-25,2026-03-25,0,0
AIG20250000501352,3,2025-09-29,2026-03-31,0,0
AIG20240000459359,5,2025-09-29,2026-03-26,0,0
AIG20230000412678,8,2025-10-13,2026-04-10,0,0
AIG20250000501352,4,2025-10-13,2026-04-07,0,0
AIG20230000412842,5,2025-10-28,2026-04-30,0,0
AIG20230000455715,7,2025-11-12,2026-05-06,0,0
AIG20240000459288,10,2025-11-12,2026-06-01,0,0
AIG20250000541110,1,2025-11-13,2026-10-29,36,0
AIG20240000498302,3,2025-11-17,2026-05-15,0,0
AIG20230000455715,8,2025-11-19,2026-05-13,0,0
AIG20240000459288,11,2025-11-19,2026-06-08,0,0
AIG20240000498290,2,2025-12-15,2026-06-25,0,33
AIG20230000455460,12,2025-12-18,2026-03-11,0,0
AIG20230000412581,11,2025-12-19,2026-07-06,0,17
AIG20230000455791,11,2025-12-19,2026-06-05,0,0
AIG20230000455791,12,2025-12-22,2026-06-08,0,0
AIG20240000459307,9,2025-12-22,2026-08-24,22,0
AIG20240000459099,4,2025-12-22,2026-07-28,45,26
AIG20230000412868,11,2025-12-22,2026-08-11,22,0
AIG20230000455714,9,2025-12-22,2026-07-02,0,18
AIG20230000412581,10,2025-12-23,2026-07-08,0,8
AIG20230000455791,13,2025-12-23,2026-06-09,0,0
AIG20250000501762,1,2025-12-23,2026-07-07,0,0
AIG20230000455708,4,2025-12-23,2026-04-21,0,0
AIG20240000459042,7,2025-12-23,2026-09-24,15,0
AIG20230000412831,3,2025-12-23,2026-09-18,50,0
AIG20230000455791,14,2025-12-24,2026-06-10,0,0
AIG20230000455791,15,2025-12-26,2026-06-11,0,0
AIG20240000459426,6,2025-12-29,2026-06-25,0,19
AIG20240000459317,10,2025-12-29,2026-11-23,14,0
AIG20230000455754,11,2025-12-29,2026-07-23,0,21
AIG20240000459262,3,2025-12-29,2026-07-08,0,19
AIG20250000501481,3,2025-12-29,2026-11-25,14,0
AIG20230000455548,9,2025-12-29,2026-04-10,0,0
AIG20240000459358,10,2025-12-29,2026-11-23,0,0
AIG20240000459315,10,2025-12-29,2026-11-23,10,0
AIG20230000455791,16,2025-12-29,2026-06-12,0,0
AIG20240000459090,5,2025-12-29,2026-06-24,0,0
AIG20250000501447,3,2025-12-29,2026-06-26,0,17
AIG20240000459287,4,2025-12-29,2026-07-06,0,8
AIG20240000498282,3,2025-12-29,2026-06-26,0,20
AIG20240000459356,10,2025-12-29,2026-11-23,36,0
AIG20240000459357,10,2025-12-29,2026-11-23,18,0
AIG20240000459322,10,2025-12-29,2026-11-23,15,0
AIG20240000459113,4,2025-12-29,2026-12-07,16,0
AIG20250000501481,2,2025-12-29,2026-10-19,16,0
AIG20230000412847,7,2025-12-30,2026-06-29,0,23
AIG20230000455754,40,2025-12-30,2026-07-29,0,18
AIG20240000459065,9,2025-12-30,2026-06-26,0,28
AIG20230000455791,17,2025-12-30,2026-06-15,0,0
AIG20250000543151,1,2025-12-30,2026-08-31,28,0
AIG20230000455708,3,2025-12-30,2026-04-28,0,0
AIG20230000412832,17,2025-12-30,2026-07-13,4,10
AIG20230000455615,12,2025-12-30,2026-06-27,0,41
AIG20250000501370,3,2025-12-30,2026-08-31,21,0
AIG20230000455573,11,2025-12-30,2026-07-23,0,0
AIG20230000412712,16,2025-12-30,2026-07-02,0,0
AIG20240000459311,9,2025-12-31,2026-03-10,0,0
AIG20230000455597,3,2025-12-31,2026-06-26,0,17
AIG20230000455554,13,2025-12-31,2026-09-03,18,0
AIG20250000501571,1,2025-12-31,2026-09-11,21,0
AIG20230000412581,9,2025-12-31,2026-07-15,0,22
AIG20230000412871,6,2025-12-31,2026-07-17,0,23
AIG20250000543076,1,2025-12-31,2026-12-30,15,0
AIG20240000498122,1,2025-12-31,2026-06-26,0,6
AIG20230000455754,41,2025-12-31,2026-07-30,0,4
