고유값,과정명,훈련과정 ID,회차,훈련기관,총 훈련일수,총 훈련시간,과정시작일,과정종료일,NCS명,NCS코드,훈련비,정원,수강신청 인원,수료인원,수료율,만족도,지역,주소,과정페이지 링크,선도기업,파트너기관,매출 최소,실 매출 대비,매출 최대,2021년,2022년,2023년,2024년,2025년,2026년
AIG202000002866261,산업 프로젝트 기반 인공지능 빅데이터 분석가 과정,AIG20200000286626,1,글로벌아이티(IT)인재개발학원,120,960,2021-01-04,2021-07-06,빅데이터분석,20010105," 9,140,160 ",25,25,19,76%,70.8,서울 관악구,서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286626&tracseTme=1&trainstCstmrId=500020055899&crseTracseSe=C0061,,,"173,663,040","182,803,200","228,504,000","182,803,200",0,0,0,0,0
AIG202000002865922,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,AIG20200000286592,2,(주)솔데스크,120,960,2021-01-05,2021-06-28,IT시스템관리,20010301," 8,224,320 ",25,26,22,85%,87.9,서울 종로구,서울특별시 종로구 종로12길 15 (관철동 종로코아),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286592&tracseTme=2&trainstCstmrId=500020026366&crseTracseSe=C0061,,,"180,935,040","171,065,856","213,832,320","171,065,856",0,0,0,0,0
AIG202000002865701,3D 기반 실감형(VR/AR) 콘텐츠 제작 전문가,AIG20200000286570,1,방송정보국제교육원,122,960,2021-01-05,2021-07-01,VR콘텐츠디자인,8020112," 7,011,840 ",25,23,17,74%,82.6,서울 영등포구,서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286570&tracseTme=1&trainstCstmrId=500020042738&crseTracseSe=C0061,,,"119,201,280","129,017,856","161,272,320","129,017,856",0,0,0,0,0
AIG202000002865741,라이다 및 영상인식기반 모빌리티 자율주행 솔루션 실무과정,AIG20200000286574,1,연희직업전문학교(주),139,1100,2021-01-11,2021-08-11,응용SW엔지니어링,20010202," 10,300,400 ",20,23,17,74%,80.7,인천 서구,인천광역시 서구 서곶로 284 (심곡동 새터빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286574&tracseTme=1&trainstCstmrId=500020041301&crseTracseSe=C0061,,,"175,106,800","189,527,360","236,909,200","189,527,360",0,0,0,0,0
AIG202000002865251,[K-디지털 유형1] 인공지능을 활용한 빅데이터 서비스 플랫폼 개발자,AIG20200000286525,1,경북산업직업전문학교,144,1000,2021-01-11,2021-08-05,빅데이터분석,20010105," 9,521,000 ",25,25,19,76%,90.7,대구 동구,대구광역시 동구 동부로 121,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286525&tracseTme=1&trainstCstmrId=500020019775&crseTracseSe=C0061,,,"180,899,000","190,420,000","238,025,000","190,420,000",0,0,0,0,0
AIG202000003135289,부스트캠프 AI Tech,AIG20200000313528,9,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,24,21,88%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=9&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"304,920,000","278,784,000","348,480,000","278,784,000",0,0,0,0,0
AIG202000003135285,부스트캠프 AI Tech,AIG20200000313528,5,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,18,16,89%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=5&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"232,320,000","209,088,000","261,360,000","209,088,000",0,0,0,0,0
AIG202000003135282,부스트캠프 AI Tech,AIG20200000313528,2,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,21,17,81%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=2&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"246,840,000","243,936,000","304,920,000","243,936,000",0,0,0,0,0
AIG202000003135288,부스트캠프 AI Tech,AIG20200000313528,8,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,14,12,86%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=8&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"174,240,000","162,624,000","203,280,000","162,624,000",0,0,0,0,0
AIG202000003135286,부스트캠프 AI Tech,AIG20200000313528,6,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,24,18,75%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=6&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"261,360,000","278,784,000","348,480,000","278,784,000",0,0,0,0,0
AIG202000003135284,부스트캠프 AI Tech,AIG20200000313528,4,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,22,14,64%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=4&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"203,280,000","255,552,000","319,440,000","255,552,000",0,0,0,0,0
AIG202000003135281,부스트캠프 AI Tech,AIG20200000313528,1,부스트캠프평생교육시설,110,800,2021-01-18,2021-06-25,인공지능모델링,20010703," 14,520,000 ",20,22,19,86%,95,경기 성남시 분당구,경기도 성남시 분당구 황새울로 246 (수내동 도담빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000313528&tracseTme=1&trainstCstmrId=500020032858&crseTracseSe=C0061,,,"275,880,000","255,552,000","319,440,000","255,552,000",0,0,0,0,0
