훈련과정 ID,회차
AIG20200000286626,1
AIG20200000286592,2
AIG20200000286570,1
AIG20200000286574,1
AIG20200000286525,1
AIG20200000313528,9
AIG20200000313528,5
AIG20200000313528,2
AIG20200000313528,8
AIG20200000313528,6
AIG20200000313528,4
AIG20200000313528,1
AIG20200000313528,10
AIG20200000313528,7
AIG20200000313528,3
AIG20200000286610,1
AIG20200000286594,1
AIG20200000313547,1
AIG20200000313547,2
AIG20200000286602,2
AIG20200000286536,1
AIG20200000286626,2
AIG20200000313559,1
AIG20200000286565,1
AIG20200000286651,2
AIG20200000286602,3
AIG20200000286611,2
AIG20200000286658,2
AIG20200000286592,3
AIG20200000313010,2
AIG20200000286647,2
AIG20200000286525,2
AIG20200000313547,3
AIG20200000313547,4
AIG20200000288892,7
AIG20200000288892,6
AIG20200000288892,5
AIG20200000288892,4
AIG20200000286648,3
AIG20200000286680,2
AIG20200000286662,2
AIG20200000286692,2
AIG20200000286558,1
AIG20200000288887,2
AIG20200000286661,2
AIG20200000286660,3
AIG20200000286656,2
AIG20200000286611,3
AIG20200000286660,4
AIG20200000286648,4
AIG20200000286668,3
AIG20200000288894,2
AIG20200000288888,2
AIG20200000286689,3
AIG20200000286689,2
AIG20200000286666,3
AIG20200000286666,2
AIG20200000286675,2
AIG20200000313547,5
AIG20200000286672,2
AIG20200000286660,5
AIG20200000286648,5
AIG20200000286644,2
AIG20200000286668,4
AIG20200000286640,1
AIG20200000286638,1
AIG20200000286532,1
AIG20200000288890,2
AIG20200000288889,3
AIG20200000288889,2
AIG20200000286531,2
AIG20210000314424,1
AIG20210000313685,1
AIG20210000314413,1
AIG20200000313010,3
AIG20200000313010,4
AIG20210000314425,1
AIG20210000314468,2
AIG20210000314468,1
AIG20210000314466,2
AIG20210000314466,3
AIG20210000314466,1
AIG20210000314466,4
AIG20200000313547,6
AIG20210000313661,1
AIG20200000286570,2
AIG20210000320939,1
AIG20210000320927,1
AIG20210000320902,1
AIG20210000320882,1
AIG20210000320474,1
AIG20210000313590,1
AIG20210000314457,1
AIG20210000314445,1
AIG20200000288892,10
AIG20200000288892,9
AIG20200000288892,8
AIG20210000314413,2
AIG20210000314422,1
AIG20200000313547,7
AIG20210000314412,1
AIG20210000314440,1
AIG20210000313610,1
AIG20210000313603,1
AIG20210000314431,1
AIG20210000313590,2
AIG20210000314428,1
AIG20210000313660,1
AIG20210000314468,4
AIG20210000314468,3
AIG20210000314466,5
AIG20210000314466,6
AIG20200000286531,3
AIG20200000288895,3
AIG20200000288895,2
AIG20210000314432,1
AIG20200000286678,2
AIG20210000314472,6
AIG20210000314472,4
AIG20210000314472,5
AIG20210000314472,1
AIG20210000314472,2
AIG20210000314472,3
AIG20200000286644,3
AIG20210000314453,1
AIG20210000314452,1
AIG20210000314451,1
AIG20210000314450,1
AIG20210000314434,1
AIG20210000314446,1
AIG20210000314444,1
AIG20210000314443,1
AIG20210000314411,1
AIG20210000313657,1
AIG20200000286675,3
AIG20210000314454,1
AIG20210000314430,1
AIG20210000313580,1
AIG20210000314421,1
AIG20210000314456,1
AIG20210000314455,1
AIG20210000314423,1
AIG20210000313694,1
AIG20210000314433,1
AIG20210000314428,2
AIG20210000313613,1
AIG20200000313010,5
AIG20200000313010,6
AIG20210000314418,1
AIG20210000314435,1
AIG20210000314466,7
AIG20210000314466,8
AIG20210000314436,1
AIG20210000314442,1
AIG20200000286602,4
AIG20210000328612,1
AIG20210000314415,1
AIG20200000286644,4
AIG20210000314461,1
AIG20210000314411,2
AIG20210000313678,1
AIG20210000313674,1
AIG20210000313621,1
AIG20210000313688,1
AIG20210000313687,1
AIG20210000313677,1
AIG20210000313623,1
AIG20210000314412,2
AIG20210000313642,1
AIG20210000313585,1
AIG20210000314417,1
AIG20210000314427,1
AIG20210000314442,2
AIG20210000314441,1
AIG20210000313652,1
AIG20210000314468,5
AIG20210000314468,6
AIG20200000313547,8
AIG20200000286561,2
AIG20210000314439,1
AIG20210000313595,1
AIG20210000313564,1
AIG20210000313599,1
AIG20210000314440,2
AIG20210000314480,1
AIG20210000314480,2
AIG20210000314479,2
AIG20210000314479,1
AIG20210000313622,1
AIG20210000313600,1
AIG20210000328873,1
AIG20210000328839,1
AIG20210000313691,1
AIG20210000313691,2
AIG20200000313528,19
AIG20200000313528,16
