훈련과정 ID,회차,만족도(5점),대표값출처,수강인원,평가인원,평가참여율,추천인원,추천응답인원,전반적 만족도,경력개발지원,교강사,평가 및 피드백,훈련과정 실무연계성,훈련과정 편성 및 운영,훈련과정 현장지향성,훈련환경 및 장비,개인성과,과정성과
AIG20240000459164,1,4.7,전반적 만족도,30,24,80,24,24,4.7,4.7,4.8,4.7,4.6,4.7,4.6,4.7,4.7,4.7
AIG20240000459164,2,4.3,전반적 만족도,36,32,88.9,29,32,4.3,4.3,4.6,4.4,5.0,4.4,4.4,4.4,4.4,4.4
AIG20240000459164,3,4.6,전반적 만족도,30,22,73.3,22,22,4.6,4.4,4.9,4.7,5.0,4.8,4.7,4.5,4.73,4.7
AIG20240000459164,4,4.5,전반적 만족도,30,26,86.7,24,26,4.5,4.5,4.7,4.6,,4.6,4.6,4.6,4.6,4.6
AIG20240000459164,5,4.6,전반적 만족도,30,22,73.3,21,22,4.6,4.6,4.8,4.6,,4.5,4.6,4.6,4.67,4.4
AIG20240000459164,6,4.4,전반적 만족도,39,32,82.1,29,32,4.4,4.6,4.7,4.6,4.5,4.6,4.6,4.6,4.5,4.4
AIG20240000459204,1,3.6,전반적 만족도,13,10,76.9,8,10,3.6,3.1,4.0,3.8,4.3,3.6,3.6,3.9,3.67,3.4
AIG20240000459204,2,4.2,전반적 만족도,24,20,83.3,18,20,4.2,4.2,4.3,4.1,5.0,4.2,4.3,4.3,4.1,3.9
AIG20240000459204,3,4.0,전반적 만족도,10,7,70,5,7,4.0,3.9,4.3,3.8,,4.1,4.2,3.8,3.77,3.2
AIG20240000459204,5,4.4,전반적 만족도,10,8,80,8,8,4.4,4.6,4.4,4.2,5.0,4.2,4.4,4.3,4.07,4.2
AIG20240000459204,6,4.5,전반적 만족도,33,29,87.9,27,29,4.5,4.4,4.6,4.5,5.0,4.4,4.4,4.3,4.3,4.1
AIG20240000459204,7,4.8,전반적 만족도,18,9,50,8,9,4.8,4.7,4.8,4.8,5.0,4.8,4.7,4.6,4.7,4.7
AIG20240000459339,1,4.0,전반적 만족도,29,26,89.7,23,26,4.0,3.8,3.5,3.7,4.0,3.8,3.7,4.0,3.87,3.9
AIG20240000459339,2,3.6,전반적 만족도,35,31,88.6,24,31,3.6,3.6,3.6,3.6,2.9,3.6,3.8,3.9,3.83,3.7
AIG20240000459339,3,4.4,전반적 만족도,30,25,83.3,25,25,4.4,4.3,4.1,4.3,5.0,4.4,4.4,4.5,4.37,4.2
AIG20240000459339,4,4.5,전반적 만족도,30,24,80,24,24,4.5,4.3,4.6,4.2,5.0,4.4,4.5,4.6,4.3,4.4
AIG20240000459339,5,3.9,전반적 만족도,17,12,70.6,11,12,3.9,4.0,3.8,3.8,2.9,4.1,4.0,4.3,4.13,3.7
AIG20240000459339,6,4.3,전반적 만족도,10,7,70,4,7,4.3,4.5,4.6,4.5,,4.6,4.4,4.6,4.4,4.0
AIG20240000501189,1,4.6,전반적 만족도,23,16,69.6,16,16,4.6,4.7,4.7,4.7,,4.5,4.6,4.7,4.5,4.6
AIG20240000501189,2,4.9,전반적 만족도,21,17,81,17,17,4.9,4.8,4.9,4.7,,4.8,4.7,4.8,4.47,4.7
AIG20240000501189,3,4.8,전반적 만족도,23,21,91.3,21,21,4.8,4.7,4.8,4.8,,4.8,4.8,4.8,4.77,4.7
AIG20240000501189,4,4.8,전반적 만족도,26,15,57.7,15,15,4.8,4.8,4.8,4.7,,4.6,4.8,4.7,4.57,4.8
AIG20240000501189,5,4.7,전반적 만족도,26,16,61.5,15,16,4.7,4.8,4.8,4.6,,4.7,4.7,4.8,4.77,4.8
AIG20240000501189,6,4.8,전반적 만족도,27,16,59.3,16,16,4.8,4.8,4.8,4.8,5.0,4.7,4.8,4.8,4.57,4.7
AIG20240000501189,7,4.9,전반적 만족도,20,15,75,15,15,4.9,4.9,4.9,4.9,,4.9,4.9,4.9,4.83,4.9
AIG20240000501189,8,4.8,전반적 만족도,19,15,78.9,14,15,4.8,4.8,4.8,4.6,,4.8,4.8,4.8,4.67,4.8
AIG20240000501189,9,4.8,전반적 만족도,21,10,47.6,9,10,4.8,4.9,4.9,4.9,,4.9,4.9,4.9,4.77,4.9
AIG20240000501189,10,4.9,전반적 만족도,23,18,78.3,18,18,4.9,4.9,4.9,4.9,,4.9,4.9,4.9,4.8,5.0
AIG20240000501189,11,5.0,전반적 만족도,27,19,70.4,19,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,4.9,5.0
AIG20240000501189,12,4.7,전반적 만족도,22,15,68.2,14,15,4.7,4.9,4.8,4.5,,4.7,4.6,4.7,4.57,4.7
AIG20240000501189,13,4.9,전반적 만족도,21,14,66.7,14,14,4.9,4.9,4.9,4.9,,4.9,4.8,4.8,4.8,4.9
AIG20240000501189,14,4.9,전반적 만족도,27,19,70.4,19,19,4.9,4.8,5.0,4.9,,4.9,4.8,5.0,4.8,5.0
AIG20240000501189,15,4.9,전반적 만족도,27,25,92.6,25,25,4.9,4.7,4.9,4.9,,4.8,4.8,4.9,4.73,4.9
AIG20240000501189,16,4.8,전반적 만족도,25,17,68,17,17,4.8,4.6,4.5,4.5,,4.6,4.7,4.7,4.63,4.5
AIG20240000501189,17,4.7,전반적 만족도,22,21,95.5,21,21,4.7,4.7,4.8,4.6,,4.7,4.6,4.5,4.57,4.7
AIG20240000501189,18,4.9,전반적 만족도,23,21,91.3,21,21,4.9,4.8,4.9,4.7,,4.8,4.8,4.9,4.73,4.7
AIG20240000501189,19,5.0,전반적 만족도,23,14,60.9,14,14,5.0,5.0,5.0,4.9,4.3,5.0,5.0,4.8,4.87,5.0
AIG20240000501189,20,5.0,전반적 만족도,24,16,66.7,16,16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
