훈련과정 ID,회차,만족도(5점),대표값출처,수강인원,평가인원,평가참여율,추천인원,추천응답인원,전반적 만족도,경력개발지원,과제 및 피드백,교강사,프로젝트 학습,훈련과정 편성 및 운영,훈련과정 현장지향성,훈련환경 및 장비,개인성과,과정성과,훈련과정 실무연계성,평가 및 피드백
AIG20200000286570,7,4.2,전반적 만족도,11,9,81.8,8,9,4.2,4.6,4.4,4.6,4.2,4.4,4.1,4.3,4.2,4.0,,
AIG20200000286570,8,4.4,전반적 만족도,9,7,77.8,7,7,4.4,4.8,4.3,4.5,4.5,4.4,4.4,4.6,4.23,4.0,4.3,
AIG20200000286570,9,4.9,전반적 만족도,11,9,81.8,9,9,4.9,5.0,5.0,4.9,5.0,4.9,4.8,5.0,4.43,4.9,,
AIG20200000286592,14,4.4,전반적 만족도,29,26,89.7,24,26,4.4,4.3,4.5,4.7,4.5,4.5,4.6,4.4,4.17,4.3,4.6,
AIG20200000286592,15,4.9,전반적 만족도,30,28,93.3,28,28,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.87,4.9,5.0,
AIG20200000286592,16,4.4,전반적 만족도,30,26,86.7,26,26,4.4,4.2,4.3,4.5,4.3,4.4,4.5,4.2,4.37,4.5,4.3,
AIG20200000286592,17,4.7,전반적 만족도,28,23,82.1,23,23,4.7,4.7,4.7,5.0,4.6,4.7,4.8,4.7,4.47,4.7,4.3,
AIG20200000286592,18,4.6,전반적 만족도,21,15,71.4,14,15,4.6,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.4,4.5,5.0,
AIG20200000286592,19,4.9,전반적 만족도,23,19,82.6,18,19,4.9,4.8,4.9,4.9,5.0,4.9,4.9,4.8,4.83,4.9,,
AIG20200000286525,9,4.8,전반적 만족도,17,9,52.9,7,9,4.8,4.8,4.9,4.8,4.9,4.9,4.7,4.8,4.97,4.8,5.0,
AIG20200000286525,10,4.5,전반적 만족도,14,12,85.7,12,12,4.5,4.5,4.6,4.6,4.5,4.4,4.4,4.6,4.33,4.4,4.6,
AIG20200000286525,11,4.3,전반적 만족도,14,12,85.7,10,12,4.3,4.2,4.6,4.7,4.4,4.4,4.3,4.3,4.03,4.1,4.6,
AIG20200000286525,12,2.9,전반적 만족도,14,11,78.6,5,11,2.9,2.9,3.3,3.4,3.1,3.2,3.0,3.1,3.03,2.8,,
AIG20200000286525,13,4.7,전반적 만족도,10,7,70,7,7,4.7,4.4,4.6,4.4,4.7,4.8,4.7,4.4,4.47,4.3,,
AIG20200000286531,6,4.2,전반적 만족도,18,14,77.8,10,14,4.2,4.3,4.2,4.6,4.3,4.3,4.2,4.2,4.5,4.2,4.6,
AIG20200000286532,3,4.9,전반적 만족도,25,25,100,25,25,4.9,4.8,4.9,4.9,4.9,4.9,4.9,4.6,4.7,5.0,,
AIG20200000286545,5,3.1,전반적 만족도,18,14,77.8,8,14,3.1,3.4,3.8,2.9,3.9,3.1,3.8,2.9,3.67,3.2,,
AIG20200000286562,6,5.0,전반적 만족도,8,6,75,6,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
AIG20200000286562,7,4.7,전반적 만족도,9,8,88.9,8,8,4.7,5.0,5.0,5.0,5.0,4.8,4.7,5.0,4.8,4.8,,
AIG20200000286563,3,3.9,전반적 만족도,15,8,53.3,8,8,3.9,3.6,3.8,4.1,4.1,3.8,3.9,4.3,3.9,3.9,,
AIG20200000286563,4,4.4,전반적 만족도,10,10,100,10,10,4.4,3.4,4.8,4.9,4.7,4.7,4.6,4.7,4.33,4.6,,
AIG20200000286594,3,4.7,전반적 만족도,11,11,100,11,11,4.7,4.7,4.8,4.8,4.9,4.7,4.8,4.6,4.43,4.6,5.0,
AIG20200000286594,4,4.8,전반적 만족도,6,6,100,6,6,4.8,4.5,4.8,4.8,4.8,4.6,4.7,4.8,4.67,4.8,5.0,
AIG20200000286597,5,4.5,전반적 만족도,14,6,42.9,5,6,4.5,3.8,4.5,4.9,4.3,4.5,3.7,4.8,4.7,3.6,,
AIG20200000286598,7,4.5,전반적 만족도,13,9,69.2,7,9,4.5,4.2,4.2,4.7,4.3,4.4,4.6,4.4,4.33,4.3,2.9,
AIG20200000286598,8,4.7,전반적 만족도,21,11,52.4,10,11,4.7,4.6,4.7,4.7,4.8,4.7,4.8,4.7,4.47,4.4,4.6,
AIG20200000286600,7,4.4,전반적 만족도,24,16,66.7,13,16,4.4,3.9,4.4,4.5,4.4,4.3,4.3,4.4,4.47,4.0,4.3,
AIG20200000286600,8,3.9,전반적 만족도,19,17,89.5,13,17,3.9,3.9,4.2,4.1,4.3,3.9,3.7,4.5,3.77,3.6,4.3,
AIG20200000286602,14,3.9,전반적 만족도,17,13,76.5,7,13,3.9,4.2,3.9,4.1,3.8,4.0,3.8,4.2,3.67,3.6,2.5,
AIG20200000286602,15,3.6,전반적 만족도,12,12,100,8,12,3.6,3.8,3.8,3.7,3.5,3.8,3.9,4.0,3.67,3.8,,
AIG20200000286603,5,3.7,전반적 만족도,16,10,62.5,9,10,3.7,3.9,3.8,4.3,4.3,3.9,4.1,3.7,4.0,4.0,5.0,
AIG20200000286603,6,4.1,전반적 만족도,16,10,62.5,8,10,4.1,4.5,4.4,4.4,4.5,4.1,4.6,4.7,4.13,4.1,5.0,
AIG20200000286610,3,4.6,전반적 만족도,16,14,87.5,13,14,4.6,4.7,4.6,4.8,4.8,4.5,4.5,4.7,4.63,4.3,,
AIG20200000286610,4,4.8,전반적 만족도,12,8,66.7,8,8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,,
AIG20200000286611,8,3.9,전반적 만족도,14,14,100,9,14,3.9,3.6,3.6,3.7,3.8,3.8,4.0,4.0,3.87,3.5,,
AIG20200000286611,9,3.6,전반적 만족도,11,10,90.9,5,10,3.6,3.5,3.8,3.5,3.6,3.7,4.0,3.9,3.87,3.5,3.6,
AIG20200000286638,3,4.6,전반적 만족도,25,22,88,21,22,4.6,4.6,4.6,4.7,4.6,4.6,4.5,4.6,4.47,4.6,,
AIG20200000286640,3,4.3,전반적 만족도,18,17,94.4,14,17,4.3,4.3,4.0,4.4,4.3,4.3,4.5,4.6,4.37,4.1,,
AIG20200000286642,4,4.3,전반적 만족도,19,11,57.9,10,11,4.3,4.0,4.3,3.8,4.3,4.1,4.1,4.3,4.1,4.2,4.6,
AIG20200000286642,5,4.5,전반적 만족도,18,15,83.3,13,15,4.5,4.0,4.4,4.5,4.5,4.3,4.5,4.4,4.43,4.5,3.9,
AIG20200000286642,6,5.0,전반적 만족도,12,7,58.3,7,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
AIG20200000286644,11,4.5,전반적 만족도,16,11,68.8,9,11,4.5,4.3,4.4,4.4,4.4,4.3,4.2,4.4,4.2,4.2,,
AIG20200000286644,12,4.6,전반적 만족도,16,12,75,12,12,4.6,4.5,4.6,4.5,4.5,4.5,4.6,4.4,4.53,4.4,4.3,
AIG20200000286644,13,4.0,전반적 만족도,23,18,78.3,14,18,4.0,3.7,4.1,3.9,4.0,4.1,3.9,4.1,4.03,3.8,4.3,
AIG20200000286644,14,4.8,전반적 만족도,18,15,83.3,15,15,4.8,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.67,4.8,,
AIG20200000286644,15,4.6,전반적 만족도,22,12,54.5,11,12,4.6,4.6,4.7,4.7,4.7,4.7,4.6,4.7,4.73,4.5,,
AIG20200000286644,16,3.8,전반적 만족도,18,16,88.9,13,16,3.8,3.8,3.9,3.8,3.9,3.8,4.1,3.9,3.8,3.8,2.9,
AIG20200000286647,7,2.9,전반적 만족도,9,6,66.7,4,6,2.9,2.4,2.7,3.0,2.7,2.9,3.3,3.1,3.17,2.4,2.9,
AIG20200000286648,15,4.7,전반적 만족도,18,15,83.3,14,15,4.7,4.8,4.8,4.9,4.9,4.7,4.8,4.9,4.93,4.5,3.6,
