고유값,과정명,훈련기관,회차,과정시작일,과정종료일,수강신청 인원,수료인원,수료율
AIG202500005015331,기업맞춤 정보보안 컨설턴트 양성 과정 ,한국IT교육원,1,2025-12-31,2026-07-13,4,41,1025.0
AIG2024000050125813,[크래프톤] 정글,대한상공회의소,13,2026-03-03,2026-07-30,17,122,717.6470588235294
AIG2024000045938914,전자정부 프레임워크 & React(AWS) 기반,(재)대덕인재개발원,14,2025-12-01,2026-07-06,11,74,672.7272727272727
AIG202500005431452,MEDILINK 아카데미 1기 - 의료기기 규제,대구경북첨단의료산업진흥재단,2,2026-05-06,2026-07-09,4,20,500.0
AIG202300004557498,메가존클라우드 MSP 솔루션 아키텍트 양성 과정,메가존클라우드 아이티평생교육원,8,2025-12-29,2026-06-26,12,47,391.66666666666663
AIG202400004590843,엘리스 유니티(Unity) 엔지니어 트랙,(주)엘리스그룹,3,2025-12-30,2026-07-28,11,40,363.6363636363636
AIG202300004557547,"프로젝트기반 웹&앱(자바,스프링,리액트,노코드)",성남 그린컴퓨터아카데미,7,2025-12-16,2026-07-15,12,41,341.66666666666663
AIG202400004593609,클라우드&데브옵스 배포 기반 실무형 프론트&백엔,더조은컴퓨터학원,9,2025-12-29,2026-07-01,6,20,333.33333333333337
AIG202400004591687,인텔 인공지능 응용앱 크리에이터 양성과정,한국전파진흥협회,7,2025-12-30,2026-07-03,10,33,330.0
AIG202400004591685,인텔 인공지능 응용앱 크리에이터 양성과정,한국전파진흥협회,5,2025-12-29,2026-07-01,14,44,314.2857142857143
AIG202400004981833,프로젝트 기반의 프론트앤드 개발자 양성(with,대우능력개발원,3,2025-11-24,2026-07-24,8,25,312.5
AIG202400004983051,고품질 이미지 AI 모델 개발자 양성과정,국제인재개발원,1,2025-12-18,2026-06-29,9,28,311.11111111111114
AIG202500005016554,AWS 클라우드와 온프레미스를 이용한 인프라 구,부산IT아카데미,4,2025-12-22,2026-07-07,16,49,306.25
AIG202500005017813,랭체인을 활용한 AI 영상객체탐지분석 플랫폼 구,코리아IT아카데미,3,2025-12-30,2026-07-29,26,76,292.30769230769226
AIG202400004592936,[Microsoft] CyberSecurity ,대한상공회의소,6,2025-12-29,2026-07-23,22,64,290.90909090909093
AIG202500005014761,생성형 AI 활용 IT 스타트업 사업개발자 실무,코드잇 평생교육원,1,2025-12-30,2026-07-16,28,78,278.57142857142856
AIG202400004980694,융합_건양대학교병원 바이오메디컬 인공지능,미래융합교육원,4,2025-12-29,2026-07-09,18,50,277.77777777777777
AIG202300004557497,메가존클라우드 MSP 솔루션 아키텍트 양성 과정,메가존클라우드 아이티평생교육원,7,2025-12-29,2026-07-07,21,58,276.1904761904762
AIG202500005014151,(머신러닝+딥러닝 활용)제조 데이터를 활용한 빅,두드림IT교육원,1,2025-12-29,2026-07-10,7,19,271.42857142857144
AIG202400004592984,JAVA 풀스택 웹&앱 개발자(클라우드) 취업캠,더조은컴퓨터아카데미,4,2025-12-29,2026-07-15,12,31,258.33333333333337
AIG2023000041283217,에듀테크 상품서비스 PM(프로덕트매니저) 양성,(주)천재교육,17,2025-12-30,2026-07-13,4,10,250.0
AIG2024000045910812,심화_ROS2와 AI를 활용한 자율주행&로봇팔 ,애드인에듀 아카데미 구로가산센,12,2026-04-22,2026-06-26,14,34,242.85714285714283
AIG202400004982453,"블렌더활용 VR 실감형콘텐츠(그래픽, 영상)",윤성컴퓨터디자인아카데미,3,2025-12-31,2026-07-07,7,17,242.85714285714283
AIG202400004593526,[기업연계]언리얼 엔진을 활용한 게임 개발자 부,주식회사디벨로켓에듀(DEVEL,6,2025-11-13,2026-07-08,19,46,242.10526315789474
AIG202400004983624,프로젝트 기반 AWS 풀스택 웹 개발자 양성,KH정보교육원 종로지원,4,2025-12-11,2026-07-01,28,66,235.71428571428572
AIG202400005012502,AWS AI School,한국전파진흥협회,2,2025-12-23,2026-07-10,11,24,218.18181818181816
AIG2024000045920911,기업맞춤형 AI+X 융복합 인재 양성 과정,(주)한국능률협회컨설팅,11,2026-02-24,2026-07-24,21,45,214.28571428571428
AIG202300004556925,AI를 활용한 3D 실감형 콘텐츠 제작 전문가,방송정보국제교육원,5,2025-11-06,2026-07-08,11,23,209.0909090909091
AIG202400004589995,융합_데이터 기반 차세대 디지털 헬스케어 AI ,아시아경제 교육센터,5,2026-02-03,2026-07-29,24,50,208.33333333333334
AIG2024000045908610,심화_LowCode 기반의 AI융합 스마트관리시,(주)글로벌아카데미(구.글로벌,10,2026-05-18,2026-07-16,12,25,208.33333333333334
